0,313,168052,14.6429
0,333,168052,14.7653
0,279,168052,14.9084
1,313,168052,14.5369
1,333,168052,14.6253
1,350,168052,14.8343
2,313,168052,14.7248
2,333,168052,14.7422
2,350,168052,14.9865
3,313,168052,14.4016
3,333,168052,14.4388
3,350,168052,14.5928
4,333,168052,14.3821
4,350,168052,14.5287
4,313,168052,14.616
5,333,168052,14.4895
5,313,168052,14.6177
5,350,168052,14.6529
6,313,168052,14.5999
6,279,168052,14.6404
6,333,168052,14.7005
7,350,168052,14.3216
7,333,168052,14.3884
7,351,168052,14.4665
8,333,168052,14.0941
8,313,168052,14.1234
8,350,168052,14.4249
9,351,168052,13.2337
9,350,168052,13.9535
9,313,168052,14.1353
10,351,168052,13.6047
10,350,168052,14.0784
10,313,168052,14.1659
11,351,168052,14.0989
11,313,168052,14.4238
11,350,168052,14.4569
12,351,168052,13.926
12,333,168052,14.3959
12,278,168052,14.4677
13,351,168052,12.9967
13,350,168052,13.5856
13,333,168052,14.1015
14,351,168052,13.4285
14,333,168052,14.0625
14,350,168052,14.0736
15,351,168052,13.4118
15,333,168052,13.7681
15,313,168052,13.8124
